,term,abbr_by_first_letters
319,Герцена операция,ГО
320,Parkes Weber,PW
322,Кархарта выемка,КВ
324,Сенхауза-Киркса синдром,СКС
326,"Reflexum (Collesi),",R(
327,рентгеновское излучение,РИ
328,кинематография рентгенотелевизионная,КР
330,кровезамещающие растворы,КР
332,синдром медиастинальный,СМ
334,Оганесяна компрессионно-дистракционный аппарат,ОКДА
335,Ландольта кольцо,ЛК
336,зона превращения,ЗП
337,роговичные тельца,РТ
339,слух вербальный,СВ
342,Егера операция,ЕО
344,феномен выравнивания громкости звука,ФВГЗ
345,туберкулоид полярный,ТП
346,Лангенбека-Бильрота операция,ЛБО
347,вертел большой,ВБ
348,нистагм врожденный наследственный,НВН
349,Вредена симптом ножниц,ВСН
350,Cervicalis profunda,CP
351,сухожильное веретено,СВ
353,inferior (pelvinus) (PNA;,I((
357,Брудзинского симптом лобковый,БСЛ
358,отверстие трубы маточное,ОТМ
359,Labiales inferiores,LI
361,Бодуэна коэффициент,БК
362,изоморфная провоцирующая реакция,ИПР
363,Emissaria condylaris,EC
364,Sternocleidomastoideus ramus,SR
365,Ланца спринцовка,ЛС
366,Боаса фрагментированный стул,БФС
367,секвестральная борозда,СБ
368,небные борозды,НБ
370,веково-молярная борозда,ВМБ
373,Лушки отверстие,ЛО
374,"Medianae medullae spinalis anteriores,",MMSA
375,Штрюмпелля болезнь,ШБ
378,синдром зеркального движения рук,СЗДР
383,"Fibulotalare anterius,",FA
384,больничный лист,БЛ
385,F. colli media,FCM
392,семенной канатик,СК
394,эпителиома множественная доброкачественная железисто-кистозная,ЭМДЖК
395,Tibiotalaris anterior pars,TAP
396,a-галактозидаза,AГ
398,иммунодепрессивные факторы,ИФ
399,пузырчатка пруригинозная,ПП
400,диатез атопический,ДА
401,мелитурия новорожденных,МН
402,сердце кифосколиотическое,СК
403,синдром верхней части плечевого сплетения,СВЧПС
404,бронхопатия хондроостеопластическая,БХ
405,Ваке болевая точка,ВБТ
406,пурпура простая,ПП
408,Scrotales anteriores,SA
410,стимулятор импульсный,СИ
412,чувство пространственное,ЧП
413,брыжи радужки,БР
418,Interossea anterior,IA
420,Oesophageus posterior,OP
424,синдром сбрасывания,СС
425,Дуана синдром,ДС
426,феномен повторного входа возбуждения,ФПВВ
427,Lumphonodi submentales,LS
429,компрессионная проба,КП
430,Фика метод,ФМ
431,пузырный проток,ПП
432,Flexor digiti quinti brevis pedis,FDQBP
434,Мюллера мышца,ММ
435,60. Auriculare superius,6AS
436,синдром локтевого нерва,СЛН
437,антигенная конверсия клеток опухоли,АККО
440,паралич Клустона,ПК
441,Пучковской операция,ПО
443,борозда плеча медиальная,БПМ
444,крыльная пластинка,КП
446,крыло подвздошной кости,КПК
447,Жильбера болезнь,ЖБ
449,надгрудинное межапоневротическое пространство,НМП
451,гистошизотропные средства,ГС
452,Диффенбаха блефаропластика,ДБ
454,жир общий,ЖО
455,лекарственный сбор,ЛС
456,Корнева симптом вожжей,КСВ
458,простатические протоки,ПП
459,Brachialis superficialis,BS
460,борозда слуховой трубы,БСТ
463,пиелография внутривенная,ПВ
465,Musculares (n. mediani),M(M
466,Шраера разрез,ШР
468,Кенига операция,КО
469,фактор 2 тромбоцитов,Ф2Т
471,термоизоляционный контейнер,ТК
472,Шморля узелок,ШУ
476,эластоз старческий,ЭС
477,симптом отдачи,СО
481,Basilaris plexus,BP
483,Барбера пустулез,БП
484,гаметический порок,ГП
485,Черни доступ,ЧД
490,десмоидная проба,ДП
491,флегмона-затек,ФЗ
495,порог выведения,ПВ
496,Клейста фазофрении,КФ
498,эндартериит облитерирующий сифилитический,ЭОС
501,батмотропное действие,БД
502,"Phrenicogastricum dextrum,",PD
506,Arias-Stella,AS
507,дисплазия эктодермальная врожденная ангидротическая,ДЭВА
508,дренаж аспирационный,ДА
513,фетоплацентарная недостаточность,ФН
516,Гольджи метод,ГМ
517,Metacarpea dorsalia,MD
518,восходящая ветвь передняя,ВВП
519,анатомия патологическая,АП
520,Вибердинга операция,ВО
521,Profundae penis,PP
522,Transversus colli,TC
523,прецервикальное пространство,ПП
524,липома периренальная,ЛП
526,Жолли миастеническая реакция,ЖМР
528,Гочеридзе симптом,ГС
531,бредовая кристаллизация,БК
533,Бергера признак,БП
535,Cardiacus cranialis,CC
540,черепная ямка задняя,ЧЯЗ
542,Orbitales rami,OR
543,синдром аффективно-бредовой,САБ
544,Эльшнига циклошпатель,ЭЦ
545,Naegleria aerobia,NA
546,илиопсоас-абсцесс,ИА
547,панкреоцит экзокринный,ПЭ
549,Петрушки лакмусовая сыворотка,ПЛС
551,фельдшерская справка о смерти,ФСОС
552,ренография радиоизотопная,РР
553,антропологическая школа,АШ
556,Multangulum majus os,MMO
559,Эрлиха теория иммунитета,ЭТИ
560,гиперкинезия сердца,ГС
563,Гальтона закон,ГЗ
564,дефундация матки,ДМ
566,кожно-гальваническая реакция,КГР
571,Маррака теория решетки,МТР
573,Aedes vexans,AV
574,индикаторная бумага,ИБ
575,Филимонова синдром,ФС
578,Борде-Жангу реакция,БЖР
580,дератизационные средства,ДС
581,Цветкова пинцет,ЦП
584,симптом подключичный,СП
585,Беца клетка,БК
586,истмико-цервикальная недостаточность,ИЦН
587,Говарда тест,ГТ
588,Пертеса проба,ПП
589,Драгстедта - Уилсона способ кожной пластики,ДУСКП
592,Корффа волокна,КВ
596,конфигурация антитела,КА
599,удерживатель сухожилий разгибателей верхний,УСРВ
600,Metatarsea plantaris,MP
601,гнойная оболочка,ГО
604,Арджила Робертсона синдром,АРС
607,атрофия турнеровская,АТ
609,гетерохронность старения,ГС
614,Брауде половая стерилизация,БПС
615,человек из Брокен-Хилла,ЧИБХ
616,Харцера синдром,ХС
619,почка эмбриональная,ПЭ
625,Аструпа микрометод,АМ
629,полоска Z,ПZ
630,желтуха эпителиально-клеточная,ЖЭК
632,противоэпидемические мероприятия,ПМ
633,Розенштейна способ,РС
635,глаз заячий,ГЗ
637,покровная мембрана,ПМ
638,эритема бруцеллезная,ЭБ
639,миастеническая проба,МП
641,аптекарский огород,АО
643,Рейля островок,РО
644,Anonyma iliaca,AI
645,синдром дислокационный,СД
646,Гетчинсона маска,ГМ
647,преципитат 2 в,П2В
651,Лельчицкого экспиратор,ЛЭ
652,цирроз печени сердечный,ЦПС
656,Carpeus palmaris ramus,CPR
658,"Mesenterica magna,",MM
659,Франческетти-Цвалена синдром,ФЦС
662,поддиафрагмальные углубления,ПУ
664,сосудорасширяющие средства,СС
665,"Quadrigeminus brachii,",QB
666,Беллярминова операция,БО
668,амплитуда аккомодации,АА
669,ветви к мосту мозга,ВКММ
670,ветви к перешейку зева,ВКПЗ
674,вспомогательная школа,ВШ
678,Томпсона признак,ТП
679,венечный отросток,ВО
681,бактериальная свеча,БС
682,кожа крестьянина,КК
683,бартолинов проток,БП
685,полидистрофия Гурлер,ПГ
686,лизогенное состояние,ЛС
688,пяточно-коленная проба,ПКП
689,очистка ядов,ОЯ
690,Пика синдром 2,ПС2
692,друза лучистого грибка,ДЛГ
693,Nodi lymphatici retropharyngei,NLR
696,ренопривный фактор,РФ
698,ушко сердца,УС
699,Nasales posteriores inferiores (laterales),NPI(
700,Collateralis ulnaris inferior,CUI
701,Брауна энтероэнтероанастомоз,БЭ
702,трудоустройство инвалидов,ТИ
703,отверстие привратника,ОП
706,гемангиома цирзоидная,ГЦ
707,ложка-катетер Агафонова,ЛКА
712,Жандрена синдром,ЖС
714,Pubis os,PO
718,легочный ствол,ЛС
719,wohlfahrtia magnifica,WM
720,сосочки дермы,СД
721,лимфома злокачественная,ЛЗ
723,желтуха сифилотерапевтическая,ЖС
724,Турена дугообразная телеангиэктатическая пурпура,ТДТП
725,лишай плоский новогвинейский,ЛПН
726,летучий отряд,ЛО
728,бвамба лихорадка,БЛ
730,изоэлектрическая точка,ИТ
732,проток поджелудочной железы,ППЖ
735,синдром параноидный,СП
737,папиллит стенозирующий почек,ПСП
739,склеродермия очаговая,СО
740,антропоморфный подход,АП
745,Чителли мастоидит,ЧМ
746,Mediales (rr. dorsalium nn. sacralium et n. coccygei),M(DNSENC
747,амбулатория передвижная,АП
748,саркоид симптоматический,СС
749,Nodi lymphatici ileocolici,NLI
752,пестрый ряд,ПР
753,акариаз легочный,АЛ
755,токи УВЧ,ТУ
756,Sternocostalia radiata,SR
758,зрачковая реакция,ЗР
760,синдром дентобронхиальный,СД
761,Lacrimale os,LO
762,электроаэрозольный генератор,ЭГ
764,Вегнера болезнь,ВБ
766,мочеточниковые ветви,МВ
770,подвисочная область,ПО
771,бацилла (-ы),Б(Ы
772,Лери плеоностеоз,ЛП
773,Фишера метод 1,ФМ1
774,фиброматоз папулезный генерализованный,ФПГ
775,дерма ногтевая,ДН
776,Шейерманна-Мау болезнь,ШМБ
777,"Nasalis lateralis externa,",NLE
778,родовые схватки,РС
779,холеграфия радиоизотопная,ХР
780,горб старческий,ГС
784,морфофизиологический прогресс,МП
785,синдром пятого поясничного корешка,СППК
786,гиперкератоз проникающий,ГП
790,эфироглюкуроновые кислоты,ЭК
791,аллогенная ингибиция,АИ
792,эмаль зубная,ЭЗ
793,Pulex irritans,PI
795,креатинфосфорная кислота,КК
805,синдром паллидарный,СП
806,синдром яремного отверстия,СЯО
807,оксигенация энтеральная,ОЭ
808,Trabeculae carneae,TC
809,пятно эллиптического мешочка,ПЭМ
810,эспандер челюстной,ЭЧ
811,Пенфилда метод,ПМ
813,шов 2,Ш2
814,трубка пылевая,ТП
816,лихорадка железистая идиопатическая,ЛЖИ
817,мезенхимома злокачественная,МЗ
820,искривление носовой перегородки,ИНП
821,каналец улитки,КУ
822,рейлева борозда,РБ
823,Lymphoglandulae subinguinales profundae,LSP
825,ею карбоксипептидаза,ЕК
828,пострадиационные эффекты,ПЭ
829,эйфория ипохондрическая,ЭИ
830,анемия пернициозная,АП
831,Клаппа способ,КС
833,желудочек изолированный,ЖИ
836,коэффициент воспроизводства населения,КВН
837,бета-аппликатор,БА
840,Дивера дренаж,ДД
843,мандибулярная дуга,МД
844,теменная область нижняя,ТОН
848,Аксенфельда крючок,АК
849,Экаэна апрактоагностический синдром,ЭАС
850,Cerebelli superiores,CS
857,небные отверстия малые,НОМ
859,Sacroilicum dorsale longum,SDL
860,симптом муляжа,СМ
863,B. m. trochlearis,BMT
867,Fonticuli posterioris os,FPO
874,Тигеля шина,ТШ
878,мукоидное вещество,МВ
879,anxietas praecordialis,AP
880,синдром отрыва от дома,СООД
882,саркоэндотелиома синовиальная,СС
883,Лоранда болезнь,ЛБ
885,послеродовой период,ПП
890,гранулема фунгоидная,ГФ
891,Говерса симптом,ГС
893,фенолсерная кислота,ФК
898,hydroa vacciniforme,HV
899,рецептор опиатный,РО
900,Лайтвуда синдром,ЛС
901,остеохондрит Вегнера,ОВ
903,Грея Тернера симптом,ГТС
904,Набота железы,НЖ
907,прачечная механизированная полевая,ПМП
908,Lymphoglandulae intercostales,LI
909,совет врачебных коллегий,СВК
911,"Calcaneoscaphoideum internum (medium) (Barkow),",CI((
912,синдром тревожно-параноидный,СТП
914,монроева борозда,МБ
916,буж-щуп,БЩ
922,Шнейдера первичный бред отношения,ШПБО
924,нейронит вестибулярный,НВ
925,глазничный отросток,ГО
928,Obturator externus,OE
929,амероидный констриктор,АК
930,дугласова линия,ДЛ
931,Mastoidei rami,MR
933,кортико-спинальный путь боковой,КСПБ
936,"Cricothyreoideus posticus,",CP
937,мочка уха,МУ
938,Лортиуара артродез,ЛА
939,Гунтера синдром,ГС
941,остеотомия-вилкование,ОВ
942,Гуттманна симптом,ГС
945,марганец радиоактивный,МР
948,Кни колостома,КК
949,угол передней камеры,УПК
950,коли-сепсис,КС
952,нервное тельце концевое,НТК
953,глиоцит (-ы),Г(Ы
954,интоксикация водная,ИВ
959,менструация болезненная,МБ
960,Кера разрез,КР
963,Амслера пункционная игла,АПИ
964,Хайнса операция,ХО
965,сбор пораженных,СП
969,де Верда операция,ДВО
970,яремное отверстие,ЯО
972,желчный пузырь двойной,ЖПД
974,хава трапезундская,ХТ
975,дистония торсионная,ДТ
976,стереотаксические ориентиры внутримозговые,СОВ
977,афферентный синтез,АС
979,прогрессия опухоли,ПО
980,Накаямы операция,НО
981,сердце искусственное,СИ
982,Гесслина симптом,ГС
983,симптом пальцевого вдавления,СПВ
987,пищевод четкообразный,ПЧ
988,дерматит липоидный атрофический Оппенгейма,ДЛАО
990,Биццоцеро бляшка,ББ
995,Бохона операция,БО
997,дренаж вентрикулярный,ДВ
999,иммуноглобулины направленного действия,ИНД
1000,расстройства «я»,Р«
1002,желтуха конъюгационная,ЖК
1003,abscessus multiplex inpantum,AMI
1007,бугорок седла,БС
1011,Mammarii laterales,ML
1012,зона избытка антигена,ЗИА
1013,Дедерлейна пластика «улиткой»,ДП«
1014,Тьюдора-Эдвардса ранорасширитель,ТЭР
1020,санитарная обработка1,СО
1022,Урбаха-Оппенгейма дислипоидоз кожи,УОДК
1023,присяга врача Советского Союза,ПВСС
1024,Грехема метод,ГМ
1026,тиф джунглей,ТД
1029,"Tarseus inferior arcus,",TIA
1031,затылочно-мостовой путь,ЗМП
1032,Meningicus (n. maxillaris),M(M
1033,обезжелезивание воды,ОВ
1035,Саттона ангиома,СА
1036,Bithynium leachii,BL
1040,вегетативная буря,ВБ
1041,синовиальное соединение,СС
1043,почка апластическая,ПА
1044,Cardiaci inferiores (n. recurrentis),CI(R
1046,почка мультикистозная,ПМ
1050,остеома паростальная,ОП
1052,синдром передней мозговой артерии,СПМА
1053,прогноз социально-психиатрический,ПСП
1054,Ptericum os,PO
1055,себорея псориазиформная,СП
1056,идеи сверхценные,ИС
1061,резистентность капилляров,РК
1064,лишай черепицеобразный,ЛЧ
1066,Cruciata digitorum pedis,CDP
1068,Жолли тельца,ЖТ
1069,основание черепа внутреннее,ОЧВ
1070,Махсона операция,МО
1071,петушиная единица,ПЕ
1075,меланоз очаговый,МО
1076,франкфуртская горизонталь,ФГ
1077,аэрозольная шашка,АШ
1078,meralgia paraesthetica,MP
1080,фиброма текаклеточная ксантоматозная,ФТК
1081,луковица преддверия,ЛП
1084,гипофизарный карман,ГК
1091,Климова фиксатор,КФ
1094,эякуляция задержанная,ЭЗ
1097,"Fibrosum anticum,",FA
1098,Эрлиха рецепторы,ЭР
1099,химиопрофилактика малярии паллиативная,ХМП
1104,паралитическая триада,ПТ
1105,анаэробная палата,АП
1106,аппликатор радиотерапевтический,АР
1108,фигура омеги,ФО
1109,Шанца операция,ШО
1111,ретрофлексия матки,РМ
1112,отверстия легочных вен,ОЛВ
1113,Дюрка гранулема,ДГ
1114,секреторный статус,СС
1116,ку-лихорадка,КЛ
1117,мальпигиев почечный клубочек,МПК
1121,Норри болезнь,НБ
1122,постцентральная область,ПО
1123,Михайлова реакция,МР
1127,гипербилирубинемия идиопатическая неконъюгированная,ГИН
1128,паротит эпидемический,ПЭ
1133,семенной бугорок,СБ
1134,Tensoris veli palatini,TVP
1135,B. subcutanea prominentiae laryngeae,BSPL
1139,Гофманна палочка,ГП
1140,Clostridium botulinum,CB
1141,активность биоэлектрическая,АБ
1142,маневренная санитарно-эпидемиологическая группа,МСЭГ
1144,Чарлтона феномен,ЧФ
1145,"Maxillare laterale,",ML
1147,лихорадка гемоглобинурийная,ЛГ
1150,отек преретинальный,ОП
1154,межуточное вещество,МВ
1158,основание аксона,ОА
1159,Вернике транскортикальная сенсорная афазия,ВТСА
1160,срединная борозда,СБ
1163,воспоминания иллюзорные,ВИ
1164,яйцевые трубки,ЯТ
1165,Sympathica ganglii submaxillaris,SGS
1169,гемангиома ползучая,ГП
1172,речевая бессвязность,РБ
1173,демаркационное кольцо,ДК
1174,Пеликана операция,ПО
1176,пентозонуклеиновая кислота,ПК
1179,"Alare major,",AM
1183,Пиери операция,ПО
1187,ногтевая луночка,НЛ
1188,судебно-медицинский эксперт,СМЭ
1190,пурпура постинфекционная кокардообразная,ППК
1191,дельта-клетка,ДК
1194,сильвиева ямка,СЯ
1195,ясли-сад,ЯС
1196,Дюпюитрена перелом,ДП
1197,Баррьера синдром,БС
1198,ганглиозная пластинка,ГП
1199,киста яичника вегетирующая,КЯВ
1201,Видровитца симптом,ВС
1207,симптом вставания,СВ
1208,"Pubicum Cooperi,",PC
1210,"Glutaeus profundus,",GP
1214,Ли болезнь,ЛБ
1216,Милроя болезнь,МБ
1218,система функциональная,СФ
1219,эозинофилия тропическая,ЭТ
1220,Вернике аутопсихоз,ВА
1222,Виккерсгеймера жидкость,ВЖ
1223,гипербилирубинемия новорожденных транзиторная семейная,ГНТС
1224,Aorticus thoracicus,AT
1225,Suprarenalis inferior,SI
1227,полиартериит нодозный,ПН
1228,противосифилитические средства,ПС
1231,атрезия фолликулов,АФ
1232,Фолькманна операция,ФО
1233,срок эксплуатации медицинского имущества,СЭМИ
1234,десквамация новорожденных ламеллезная,ДНЛ
1236,Transversus ramus,TR
1238,Седерберга симптом,СС
1239,липоидоз дистопический наследственный,ЛДН
1242,Паннета решетка,ПР
1243,глоточный карман,ГК
1247,Bb. intermusculares mm. gluteorum,BIMG
1249,b-цитомембрана,BЦ
1250,лихорадка Чикунгунья,ЛЧ
1251,Дондерса метод,ДМ
1252,Transversum acetabuli,TA
1253,ядро Беклара,ЯБ
1254,Дельма способ,ДС
1255,Фурнье симптом,ФС
1257,гассеров ганглий,ГГ
1259,Шюсслера сухожильный шов,ШСШ
1260,щитовидное сплетение непарное,ЩСН
1263,Робена синдром,РС
1266,санитарный день,СД
1267,болезни трансмиссивные,БТ
1268,Sacroilica interossea,SI
1270,противотрихомонадные средства,ПС
1272,лобковое оволосение,ЛО
1273,кишечное орошение подводное,КОП
1275,"Elevator humeri,",EH
1278,Симмондса болезнь,СБ
1279,слепота рефлекторная,СР
1280,атрофия кожи пятнистая,АКП
1283,крови глюкотест,КГ
1286,истираемость таблеток,ИТ
1287,Негеле формула,НФ
1289,альцгеймеровский синдром,АС
1290,Гейгеля рефлекс,ГР
1291,Кункеля проба,КП
1292,Лиссауэра апперцептивная агнозия,ЛАА
1293,Aponcurosis omoclavicularis,AO
1294,поражение кожи паратравматическое,ПКП
1295,синдром крылонебного узла,СКУ
1298,Metacarpi ossa,MO
1300,"Intermaxillare os,",IO
1301,микрофонный эффект улитки,МЭУ
1303,подвздошно-гребешковая ямка,ПГЯ
1304,Ушинского среда,УС
1305,симптом смыкания век,ССВ
1306,койка-носилки,КН
1311,аппарат Аристовского,АА
1313,Рапанта операция,РО
1314,Хольцова операция,ХО
1316,Сабуро пептонный агар,СПА
1318,Бертелли мембрана,БМ
1319,липогранулема инъекционная,ЛИ
1322,Радовича рефлекс,РР
1324,желудок гипермотильный,ЖГ
1326,Membrana perinei,MP
1328,Эдера метгемоглобинемия,ЭМ
1329,Долинова симптом,ДС
1330,Vastus lateralis,VL
1331,Sternoclaviculare posterius,SP
1340,психоз маниакально-меланхолический,ПММ
1341,пластинки остеона,ПО
1342,непереносимость фруктозы,НФ
1343,флавинадениндинуклеотид (ФАД),Ф(
1345,17-кетостероиды,1К
1346,Acetabuli os,AO
1351,адаптивный ряд,АР
1353,преддверие гортани,ПГ
1355,синдром паранойяльный,СП
1358,Кохера операция,КО
1360,"Cava superior sinistra,",CSS
1366,"volares propriae (BNA,",VP(
1369,Шоффара-Лериша форма рака,ШЛФР
1370,Преображенского тонзиллэктомия,ПТ
1371,матка атрофическая,МА
1372,Chorda uteroinguinalis,CU
1373,меккелев дивертикул,МД
1374,Talocalcaneum mediale,TM
1375,беловатое тело,БТ
1380,межмышечное сплетение,МС
1381,Шугара пигментная глаукома,ШПГ
1382,депрессия конституциональная,ДК
1384,медицинская картография,МК
1385,эритема телеангиэктатическая врожденная стойкая,ЭТВС
1391,головка таранной кости,ГТК
1392,синдром гипотонически-гиперкинетический,СГГ
1394,Барре дисгармонический синдром,БДС
1395,внутренностные ветви,ВВ
1396,Яффе-Лихтенстайна дисплазия,ЯЛД
1397,аденома фетальная,АФ
1401,Rectus superior,RS
1403,мышечная лакуна,МЛ
1404,спазм писчий,СП
1405,остеопороз фетальный,ОФ
1406,Basalis lateralis ramus,BLR
1407,Картагенера синдром,КС
1409,Астринского прием,АП
1410,ауэрбаховское сплетение,АС
1412,эстрогенные средства,ЭС
1414,Communicans cumn. glossopbaryngico,CCG
1416,преждевременное отхождение вод,ПОВ
1417,сальниковое углубление нижнее,СУН
1419,санитарное состояние населения,ССН
1421,эритема возвышенная стойкая,ЭВС
1423,гнойник ложный,ГЛ
1424,Крестовского операция,КО
1425,Strongyloldes stercoralis,SS
1426,экзотоксин холерный,ЭХ
1427,интоксикация пищевая,ИП
1428,антропоургические факторы среды,АФС
1429,височно-мостовой путь,ВМП
1431,коечная мощность,КМ
1433,Caroticotympanici rami,CR
1434,Бехтерева костоабдоминальный рефлекс,БКР
1435,вакуум-насос,ВН
1438,синдром внечерепной закупорки внутренней сонной артерии,СВЗВСА
1440,Carotis externa,CE
1445,автоматизация производства,АП
1448,культура чистая,КЧ
1450,вегетативная стигматизация,ВС
1455,носовые ветви передние латеральные,НВПЛ
1456,двуустка ланцетовидная,ДЛ
1457,эндофтальмит метастатический,ЭМ
1463,Коновалова болезнь,КБ
1467,гранулема лица злокачественная,ГЛЗ
1468,периодическая болезнь,ПБ
1472,угол гамма,УГ
1473,метаболическая вода,МВ
1474,геморрагия экспульсивная,ГЭ
1477,Шейтхауэра-Мари-Сентона синдром,ШМСС
1479,система адренореактивная,СА
1480,родильный дом,РД
1481,фрамбезия бразильская,ФБ
1483,Веландер синдром,ВС
1484,семенные канальцы прямые,СКП
1485,симптом стоячий,СС
1486,дисплазия черепно-метафизарная,ДЧМ
1487,феномен скрытого шелушения,ФСШ
1489,фиброэластоз субэндокардиальный приобретенный,ФСП
1496,интранатальный период,ИП
1497,взаимодействие генов,ВГ
1498,ома симптом,ОС
1499,Ланнелонга операция,ЛО
1501,анонихия врожденная,АВ
1502,Келера запятая,КЗ
1504,Ван-Слайка аппарат,ВСА
1507,кишка слепая подвижная,КСП
1508,Килина синдром,КС
1513,невропатия гипертрофическая семейная,НГС
1516,шанкр твердый,ШТ
1518,панкреатический островок,ПО
1519,Смольянникова способ,СС
1520,Похисова способ,ПС
1522,экзофтальмический фактор гипофиза,ЭФГ
1524,карта изодоз,КИ
