term,abbr_by_first_letters
эндокардит,Э
Transversus linguae,TL
макроэргические соединения,МС
ослепленность,О
"Glandulae thyreoideae (medium et lateralia),",GT(EL
эласторексис генерализованный,ЭГ
Гришина аппарат,ГА
сумеречное состояние,СС
синдром аффективный,СА
Apicalis ramus,AR
гипотрофия,Г
подбородочная точка,ПТ
медицина военно-морская,МВМ
горный дротик,ГД
лимфостаз,Л
Васильева метод пластики,ВМП
ангина Людвига,АЛ
Тейна схема,ТС
Захарченко синдром,ЗС
гуморальные факторы,ГФ
перителиома,П
протопласт бактериальный,ПБ
портальный,П
метросальпингография,М
Transversa colli,TC
дуоденофиброскоп,Д
Corticales rami,CR
"Interarytaenoideus obliquus,",IO
перицитома,П
Немека ток,НТ
температура оперативная,ТО
пороговая реакция,ПР
уретероцистонеостомия,У
наркология,Н
пиопневмоперигепатит,П
сегментэктомия,С
Interlacunaris pars fasciae ilicae,IPFI
речь моторная,РМ
декомпрессионная камера,ДК
Xenopsilla cheopis,XC
аутозит,А
Шмерца клемма,ШК
Пирогова фасция,ПФ
Metacarpea palmaria,MP
дерматофиброз лентикулярный диссеминированный,ДЛД
автоматическое управление,АУ
B. trochanterica m. glutei maximi,BTMGM
предоперационный период,ПП
Гефтер метод,ГМ
цитруллинурия,Ц
Doyen,D
Mustard,M
артросклероз,А
фаза изометрического расслабления,ФИР
Шарко симптом,ШС
"Rhomboides claviculae,",RC
гамазориккетсиоз,Г
полиартралгия,П
большой бугорок,ББ
мезотелиоцит,М
кибернетика,К
ветвь лобковой кости верхняя,ВЛКВ
Гзелль,Г
кретинизм,К
препрофаза,П
вакуум-сушилка,ВС
фарингомикоз,Ф
Торнтона эхинококкэктомия,ТЭ
многоводие,М
экзантема эпидемическая,ЭЭ
Meningicae mediae,MM
кишечнополостные,К
фаза изгнания,ФИ
глиома эпендимальная,ГЭ
Triceps brachii,TB
Ad pontem rami,APR
дискератоз фолликулярный,ДФ
Gengou,G
Ampullaris lateralis,AL
уксусная кислота,УК
фотокоагуляция,Ф
Fc-фрагмент,FФ
электротермобуж,Э
Cutaneus brachii lateralis,CBL
нервно-психическое напряжение,НПН
детский сад,ДС
псевдостеноз,П
пролин,П
альфа-адреномиметические средства,ААС
Hoover,H
Вейксельбаума диплококк,ВД
канкро-,К
проплазмоцит,П
псевдохолера,П
Грэма,Г
Riddoch,R
Тандлера теория,ТТ
гипофосфатемия,Г
Равич-Щербо симптом,РЩС
надлобковая область,НО
Froment,F
Nodi lymphatici paravaginales,NLP
пупок барабанной перепонки,ПБП
Jerwell,J
Говерса,Г
пангамовая кислота,ПК
радиоксенометр,Р
параграмматизм,П
легкие фермера,ЛФ
онихошизис,О
ритм суточный,РС
эндотендиний,Э
"Diaphragmaticus plexus venosus,",DPV
Peronaea communis,PC
"Cubitalis,",C
Дойзи,Д
линия фиксации,ЛФ
теплолечение,Т
Dubin,D
Фарранта метод,ФМ
Винслоу отверстие,ВО
токсикоз беременных,ТБ
лобарный,Л
анорхидия,А
Шая-Дрейджера синдром,ШДС
Герцена операция,ГО
Parkes Weber,PW
сонофорез,С
Кархарта выемка,КВ
оливиноз,О
Сенхауза-Киркса синдром,СКС
талон,Т
"Reflexum (Collesi),",R(
рентгеновское излучение,РИ
кинематография рентгенотелевизионная,КР
антитело»,А
кровезамещающие растворы,КР
Дюбоск,Д
синдром медиастинальный,СМ
никотинизм,Н
Оганесяна компрессионно-дистракционный аппарат,ОКДА
Ландольта кольцо,ЛК
зона превращения,ЗП
роговичные тельца,РТ
Jaccoud,J
слух вербальный,СВ
Finsen,F
ID,I
Егера операция,ЕО
диатермоэлектрофорез,Д
феномен выравнивания громкости звука,ФВГЗ
туберкулоид полярный,ТП
Лангенбека-Бильрота операция,ЛБО
вертел большой,ВБ
нистагм врожденный наследственный,НВН
Вредена симптом ножниц,ВСН
Cervicalis profunda,CP
сухожильное веретено,СВ
Coccygea,C
inferior (pelvinus) (PNA;,I((
Вейзенбурга,В
гемомикрогазометр,Г
дизадаптация,Д
Брудзинского симптом лобковый,БСЛ
отверстие трубы маточное,ОТМ
Labiales inferiores,LI
ксерофтальмия,К
Бодуэна коэффициент,БК
изоморфная провоцирующая реакция,ИПР
Emissaria condylaris,EC
Sternocleidomastoideus ramus,SR
Ланца спринцовка,ЛС
Боаса фрагментированный стул,БФС
секвестральная борозда,СБ
небные борозды,НБ
гиперцементоз,Г
веково-молярная борозда,ВМБ
мезосигмопликация,М
катафазия,К
Лушки отверстие,ЛО
"Medianae medullae spinalis anteriores,",MMSA
Штрюмпелля болезнь,ШБ
гемолитический,Г
порнографомания,П
синдром зеркального движения рук,СЗДР
вазоэпидидимостомия,В
полинуклеарный,П
Wyeth,W
индуктор,И
"Fibulotalare anterius,",FA
больничный лист,БЛ
F. colli media,FCM
акаталаземия,А
артериолонефросклероз,А
песчанки,П
гранулоцит,Г
тропоскоп,Т
Koskinas,K
семенной канатик,СК
химотрипсиноген,Х
эпителиома множественная доброкачественная железисто-кистозная,ЭМДЖК
Tibiotalaris anterior pars,TAP
a-галактозидаза,AГ
Rieder,R
иммунодепрессивные факторы,ИФ
пузырчатка пруригинозная,ПП
диатез атопический,ДА
мелитурия новорожденных,МН
сердце кифосколиотическое,СК
синдром верхней части плечевого сплетения,СВЧПС
бронхопатия хондроостеопластическая,БХ
Ваке болевая точка,ВБТ
пурпура простая,ПП
ретардация,Р
Scrotales anteriores,SA
изогемолизины,И
стимулятор импульсный,СИ
Мебиус,М
чувство пространственное,ЧП
брыжи радужки,БР
гирсутизм,Г
спектроскоп,С
Rees,R
фистулоплеврография,Ф
Interossea anterior,IA
мнемоскоп,М
Oesophageus posterior,OP
альгофилия,А
Тейби,Т
аллоксан,А
синдром сбрасывания,СС
Дуана синдром,ДС
феномен повторного входа возбуждения,ФПВВ
Lumphonodi submentales,LS
профилакторий,П
компрессионная проба,КП
Фика метод,ФМ
пузырный проток,ПП
Flexor digiti quinti brevis pedis,FDQBP
Люри,Л
Мюллера мышца,ММ
60. Auriculare superius,6AS
синдром локтевого нерва,СЛН
антигенная конверсия клеток опухоли,АККО
антиантитела,А
обезболивание,О
паралич Клустона,ПК
Пучковской операция,ПО
"Arantii,",A
борозда плеча медиальная,БПМ
крыльная пластинка,КП
Frontalis,F
крыло подвздошной кости,КПК
Жильбера болезнь,ЖБ
контрактильный,К
надгрудинное межапоневротическое пространство,НМП
Jejunales,J
гистошизотропные средства,ГС
Диффенбаха блефаропластика,ДБ
Крейги,К
жир общий,ЖО
лекарственный сбор,ЛС
Корнева симптом вожжей,КСВ
микроангиография,М
простатические протоки,ПП
Brachialis superficialis,BS
борозда слуховой трубы,БСТ
раненый,Р
кимато-,К
пиелография внутривенная,ПВ
новорожденный,Н
Musculares (n. mediani),M(M
Шраера разрез,ШР
фантазмы,Ф
Кенига операция,КО
фактор 2 тромбоцитов,Ф2Т
Creveld,C
термоизоляционный контейнер,ТК
Шморля узелок,ШУ
Meckel,M
новорожденность,Н
хирургия,Х
эластоз старческий,ЭС
симптом отдачи,СО
колостомия,К
Seldinger,S
предперевязочная,П
Basilaris plexus,BP
дентин,Д
Барбера пустулез,БП
гаметический порок,ГП
Черни доступ,ЧД
палилалия,П
циклоцефалия,Ц
Ирганг,И
Кафка,К
десмоидная проба,ДП
флегмона-затек,ФЗ
ахиллотенопластика,А
полиодонтия,П
Holter,H
порог выведения,ПВ
Клейста фазофрении,КФ
спазм,С
эндартериит облитерирующий сифилитический,ЭОС
пневмоперитонеография,П
Lobitz,L
батмотропное действие,БД
"Phrenicogastricum dextrum,",PD
аппендикостомия,А
моноаминоксидаза,М
Кизер,К
Arias-Stella,AS
дисплазия эктодермальная врожденная ангидротическая,ДЭВА
дренаж аспирационный,ДА
глиоматоз,Г
гоносепсис,Г
лигранум,Л
эктропион,Э
фетоплацентарная недостаточность,ФН
Новгородская,Н
Виллетта,В
Гольджи метод,ГМ
Metacarpea dorsalia,MD
восходящая ветвь передняя,ВВП
анатомия патологическая,АП
Вибердинга операция,ВО
Profundae penis,PP
Transversus colli,TC
прецервикальное пространство,ПП
липома периренальная,ЛП
эйкапния,Э
Жолли миастеническая реакция,ЖМР
мегал-,М
Гочеридзе симптом,ГС
гистио-,Г
Федеричи,Ф
бредовая кристаллизация,БК
Антона,А
Бергера признак,БП
токофобия,Т
Cardiacus cranialis,CC
Afzelius,A
телеэлектрокардиография,Т
Goldscheider,G
двойня,Д
черепная ямка задняя,ЧЯЗ
везикулография,В
Orbitales rami,OR
синдром аффективно-бредовой,САБ
Эльшнига циклошпатель,ЭЦ
Naegleria aerobia,NA
илиопсоас-абсцесс,ИА
панкреоцит экзокринный,ПЭ
West,W
Петрушки лакмусовая сыворотка,ПЛС
фониатрия,Ф
фельдшерская справка о смерти,ФСОС
ренография радиоизотопная,РР
антропологическая школа,АШ
контраст,К
Фроммель,Ф
Multangulum majus os,MMO
моноцентризм,М
Кинга,К
Эрлиха теория иммунитета,ЭТИ
гиперкинезия сердца,ГС
Dakin,D
Morgagni,M
Гальтона закон,ГЗ
дефундация матки,ДМ
миокардиофиброз,М
кожно-гальваническая реакция,КГР
Giraldes,G
цитогенетика,Ц
Орам,О
гнозис,Г
Маррака теория решетки,МТР
миринг-,М
Aedes vexans,AV
индикаторная бумага,ИБ
Филимонова синдром,ФС
Wernicke,W
тифлоспазм,Т
Борде-Жангу реакция,БЖР
тимома,Т
дератизационные средства,ДС
Цветкова пинцет,ЦП
псих-,П
гипоксантиноксидаза,Г
симптом подключичный,СП
Беца клетка,БК
истмико-цервикальная недостаточность,ИЦН
Говарда тест,ГТ
Пертеса проба,ПП
Драгстедта - Уилсона способ кожной пластики,ДУСКП
Morenheim,M
Tzanck,T
Корффа волокна,КВ
коллицистит,К
-оз,О
гидроуретер,Г
конфигурация антитела,КА
старовегетарианцы,С
гедонизм,Г
удерживатель сухожилий разгибателей верхний,УСРВ
Metatarsea plantaris,MP
гнойная оболочка,ГО
скиаметр,С
интракардиальный,И
Арджила Робертсона синдром,АРС
Thormalen,T
нефролог,Н
атрофия турнеровская,АТ
акробласт,А
гетерохронность старения,ГС
Лейбе,Л
вазокардиограмма,В
Trigeminus,T
литический,Л
Брауде половая стерилизация,БПС
человек из Брокен-Хилла,ЧИБХ
Харцера синдром,ХС
мицетизм,М
ДК,Д
почка эмбриональная,ПЭ
Omphalomesentericae,O
ваготомия,В
гуанозинмонофосфат,Г
индуктопирексия,И
дерматофилиазы,Д
Аструпа микрометод,АМ
переносчик,П
"Semispinatus,",S
Вендта,В
полоска Z,ПZ
желтуха эпителиально-клеточная,ЖЭК
брахицефалия,Б
противоэпидемические мероприятия,ПМ
Розенштейна способ,РС
утомляемость,У
глаз заячий,ГЗ
Thomson,T
покровная мембрана,ПМ
эритема бруцеллезная,ЭБ
миастеническая проба,МП
бруксомания,Б
аптекарский огород,АО
Гибсона,Г
Рейля островок,РО
Anonyma iliaca,AI
синдром дислокационный,СД
Гетчинсона маска,ГМ
преципитат 2 в,П2В
кардиосептопексия,К
офтальмоксероз,О
симпатикотония,С
Лельчицкого экспиратор,ЛЭ
цирроз печени сердечный,ЦПС
кумыс,К
гемиалгия,Г
гемигипопсия,Г
Carpeus palmaris ramus,CPR
споровики,С
"Mesenterica magna,",MM
Франческетти-Цвалена синдром,ФЦС
интактный,И
Коллен,К
поддиафрагмальные углубления,ПУ
нодозный,Н
сосудорасширяющие средства,СС
"Quadrigeminus brachii,",QB
Беллярминова операция,БО
вазоанастомоз,В
амплитуда аккомодации,АА
ветви к мосту мозга,ВКММ
ветви к перешейку зева,ВКПЗ
"Humeralis,",H
поликория,П
сироп,С
вспомогательная школа,ВШ
тахиосциллография,Т
Лексер,Л
аниматизм,А
Томпсона признак,ТП
венечный отросток,ВО
фотооксиданты,Ф
бактериальная свеча,БС
кожа крестьянина,КК
бартолинов проток,БП
фотоофтальмия,Ф
полидистрофия Гурлер,ПГ
лизогенное состояние,ЛС
медулло-,М
пяточно-коленная проба,ПКП
очистка ядов,ОЯ
Пика синдром 2,ПС2
Faber,F
друза лучистого грибка,ДЛГ
Nodi lymphatici retropharyngei,NLR
омфалит,О
Bumke,B
ренопривный фактор,РФ
электроэнцефалограмма,Э
ушко сердца,УС
Nasales posteriores inferiores (laterales),NPI(
Collateralis ulnaris inferior,CUI
Брауна энтероэнтероанастомоз,БЭ
трудоустройство инвалидов,ТИ
отверстие привратника,ОП
дермопотенциометр,Д
Serensen,S
гемангиома цирзоидная,ГЦ
ложка-катетер Агафонова,ЛКА
Liebermann,L
маловодие,М
гликурия,Г
Conjunctivales,C
Жандрена синдром,ЖС
Шаута,Ш
Pubis os,PO
Комберга,К
феногенез,Ф
боль,Б
легочный ствол,ЛС
wohlfahrtia magnifica,WM
сосочки дермы,СД
лимфома злокачественная,ЛЗ
Deniges,D
желтуха сифилотерапевтическая,ЖС
Турена дугообразная телеангиэктатическая пурпура,ТДТП
лишай плоский новогвинейский,ЛПН
летучий отряд,ЛО
радиосцинтиграфия,Р
бвамба лихорадка,БЛ
Lian,L
изоэлектрическая точка,ИТ
психология,П
проток поджелудочной железы,ППЖ
Boettiger,B
трихорексис,Т
синдром параноидный,СП
трофэктодерма,Т
папиллит стенозирующий почек,ПСП
гепато-,Г
склеродермия очаговая,СО
антропоморфный подход,АП
плеврофистулография,П
Mann,M
Александера,А
пупиллометрия,П
Чителли мастоидит,ЧМ
Mediales (rr. dorsalium nn. sacralium et n. coccygei),M(DNSENC
амбулатория передвижная,АП
саркоид симптоматический,СС
Nodi lymphatici ileocolici,NLI
дисмнезия,Д
антропункция,А
пестрый ряд,ПР
акариаз легочный,АЛ
полиартрит,П
токи УВЧ,ТУ
Sternocostalia radiata,SR
кардиопневмограмма,К
зрачковая реакция,ЗР
Baizeau,B
синдром дентобронхиальный,СД
Lacrimale os,LO
электроаэрозольный генератор,ЭГ
аллоэстезия,А
Вегнера болезнь,ВБ
платириния,П
мочеточниковые ветви,МВ
Андростерон,А
Takayasu,T
токсоплазмин,Т
подвисочная область,ПО
бацилла (-ы),Б(Ы
Лери плеоностеоз,ЛП
Фишера метод 1,ФМ1
фиброматоз папулезный генерализованный,ФПГ
дерма ногтевая,ДН
Шейерманна-Мау болезнь,ШМБ
"Nasalis lateralis externa,",NLE
родовые схватки,РС
холеграфия радиоизотопная,ХР
горб старческий,ГС
плазмопотеря,П
сапробионт,С
миосимпласт,М
морфофизиологический прогресс,МП
синдром пятого поясничного корешка,СППК
гиперкератоз проникающий,ГП
парието-,П
Ramon,R
ознобыш,О
эфироглюкуроновые кислоты,ЭК
аллогенная ингибиция,АИ
эмаль зубная,ЭЗ
Pulex irritans,PI
дерм-,Д
креатинфосфорная кислота,КК
хронограф,Х
Grunert,G
йодометрия,Й
Janbon,J
гипердиагностика,Г
пневмополиграфия,П
Blasius,B
саркопсиллез,С
ситиомания,С
синдром паллидарный,СП
синдром яремного отверстия,СЯО
оксигенация энтеральная,ОЭ
Trabeculae carneae,TC
пятно эллиптического мешочка,ПЭМ
эспандер челюстной,ЭЧ
Пенфилда метод,ПМ
нейроретинопатия,Н
шов 2,Ш2
трубка пылевая,ТП
гипонатриемия,Г
лихорадка железистая идиопатическая,ЛЖИ
мезенхимома злокачественная,МЗ
опухоль,О
ганглионит,Г
искривление носовой перегородки,ИНП
каналец улитки,КУ
рейлева борозда,РБ
Lymphoglandulae subinguinales profundae,LSP
Submucosus,S
ею карбоксипептидаза,ЕК
паракуперит,П
стереоофтальмоскопия,С
пострадиационные эффекты,ПЭ
эйфория ипохондрическая,ЭИ
анемия пернициозная,АП
Клаппа способ,КС
электрокимография,Э
желудочек изолированный,ЖИ
интестинопластика,И
диафрагматит,Д
коэффициент воспроизводства населения,КВН
бета-аппликатор,БА
офтальмодинамометрия,О
ангиотонин,А
Дивера дренаж,ДД
Зацепин,З
Галл,Г
мандибулярная дуга,МД
теменная область нижняя,ТОН
каротинодермия,К
склеронихия,С
Holmgren,H
Аксенфельда крючок,АК
Экаэна апрактоагностический синдром,ЭАС
Cerebelli superiores,CS
монодактилия,М
полигенизм,П
супер-,С
нейтрофилоцит,Н
Cricopharyngicum,C
Najjar,N
небные отверстия малые,НОМ
хрусталик,Х
Sacroilicum dorsale longum,SDL
симптом муляжа,СМ
сопротивляемость,С
вибросмеситель,В
B. m. trochlearis,BMT
Hasslin,H
псевдогаллюцинации,П
эндофиброскоп,Э
Fonticuli posterioris os,FPO
холинацетилаза,Х
нистагмография,Н
Auspitz,A
Giannini,G
какосмия,К
псевдоаффект,П
Тигеля шина,ТШ
мезангий,М
Wahibaum,W
назоорбитальный,Н
мукоидное вещество,МВ
anxietas praecordialis,AP
синдром отрыва от дома,СООД
вибротравма,В
саркоэндотелиома синовиальная,СС
Лоранда болезнь,ЛБ
Vaquez,V
послеродовой период,ПП
вентрикулоуретеростомия,В
симпаталгия,С
Баркер,Б
Штумме,Ш
гранулема фунгоидная,ГФ
Говерса симптом,ГС
урогинекология,У
фенолсерная кислота,ФК
Andogsky,A
симфизэктомия,С
стереоцилии,С
Haldane,H
hydroa vacciniforme,HV
рецептор опиатный,РО
Лайтвуда синдром,ЛС
остеохондрит Вегнера,ОВ
тропоколлаген,Т
Грея Тернера симптом,ГТС
Набота железы,НЖ
тепловизор,Т
гемопоэтический,Г
прачечная механизированная полевая,ПМП
Lymphoglandulae intercostales,LI
совет врачебных коллегий,СВК
эргазия,Э
"Calcaneoscaphoideum internum (medium) (Barkow),",CI((
синдром тревожно-параноидный,СТП
вход,В
монроева борозда,МБ
обезвреживание,О
буж-щуп,БЩ
квашиоркор,К
псевдопсихопатия,П
Жако,Ж
интравентрикулярный,И
рин-,Р
Шнейдера первичный бред отношения,ШПБО
проприорецептор,П
нейронит вестибулярный,НВ
глазничный отросток,ГО
астрофобия,А
Brachmann,B
Obturator externus,OE
амероидный констриктор,АК
дугласова линия,ДЛ
Mastoidei rami,MR
Валленберга,В
кортико-спинальный путь боковой,КСПБ
эмбриогенез,Э
аминоацидурия,А
"Cricothyreoideus posticus,",CP
мочка уха,МУ
Лортиуара артродез,ЛА
Гунтера синдром,ГС
спирометр,С
остеотомия-вилкование,ОВ
Гуттманна симптом,ГС
периэлектротон,П
левулеза,Л
марганец радиоактивный,МР
предклинье,П
амиотония,А
Кни колостома,КК
угол передней камеры,УПК
коли-сепсис,КС
синехии,С
нервное тельце концевое,НТК
глиоцит (-ы),Г(Ы
интоксикация водная,ИВ
агипногнозия,А
нейроинфекция,Н
нейрохимия,Н
Барбер,Б
менструация болезненная,МБ
Кера разрез,КР
фенестрация,Ф
Герцена,Г
Амслера пункционная игла,АПИ
Хайнса операция,ХО
сбор пораженных,СП
Vineberg,V
циклодиатермия,Ц
комплементация,К
де Верда операция,ДВО
яремное отверстие,ЯО
-ит,И
желчный пузырь двойной,ЖПД
Kiefer,K
хава трапезундская,ХТ
дистония торсионная,ДТ
стереотаксические ориентиры внутримозговые,СОВ
афферентный синтез,АС
пиогемоторакс,П
прогрессия опухоли,ПО
Накаямы операция,НО
сердце искусственное,СИ
Гесслина симптом,ГС
симптом пальцевого вдавления,СПВ
остеобластома,О
Лериш,Л
Hana,H
пищевод четкообразный,ПЧ
дерматит липоидный атрофический Оппенгейма,ДЛАО
Monro,M
Биццоцеро бляшка,ББ
гелио-,Г
постадаптация,П
Bonnier,B
Hara,H
Бохона операция,БО
травник,Т
дренаж вентрикулярный,ДВ
спланхнокран,С
иммуноглобулины направленного действия,ИНД
расстройства «я»,Р«
диссомния,Д
желтуха конъюгационная,ЖК
abscessus multiplex inpantum,AMI
КЕД,К
полимастия,П
гомогаметы,Г
бугорок седла,БС
гепаторадиография,Г
Devic,D
страх,С
Mammarii laterales,ML
зона избытка антигена,ЗИА
Дедерлейна пластика «улиткой»,ДП«
Тьюдора-Эдвардса ранорасширитель,ТЭР
Crigler,C
беременность,Б
энтеростомия,Э
постит,П
предсекционная,П
санитарная обработка1,СО
эпидермис,Э
Урбаха-Оппенгейма дислипоидоз кожи,УОДК
присяга врача Советского Союза,ПВСС
Грехема метод,ГМ
Фишер,Ф
тиф джунглей,ТД
Уотерстон,У
лекарь,Л
"Tarseus inferior arcus,",TIA
гастродуоденостомия,Г
затылочно-мостовой путь,ЗМП
Meningicus (n. maxillaris),M(M
обезжелезивание воды,ОВ
онихогетеротопия,О
Саттона ангиома,СА
Bithynium leachii,BL
одноутробные,О
ипсилатеральный,И
Юэрта,Ю
вегетативная буря,ВБ
синовиальное соединение,СС
гепатопатия,Г
почка апластическая,ПА
Cardiaci inferiores (n. recurrentis),CI(R
декомпозиция,Д
почка мультикистозная,ПМ
тироксин,Т
Hudson,H
растерянность,Р
остеома паростальная,ОП
Шлезингер,Ш
синдром передней мозговой артерии,СПМА
прогноз социально-психиатрический,ПСП
Ptericum os,PO
себорея псориазиформная,СП
идеи сверхценные,ИС
Patau,P
ниша,Н
остеомиелография,О
кариолизис,К
резистентность капилляров,РК
электромиомастикациография,Э
Transversooccipitalis,T
лишай черепицеобразный,ЛЧ
Orbitalis,O
Cruciata digitorum pedis,CDP
Хилла,Х
Жолли тельца,ЖТ
основание черепа внутреннее,ОЧВ
Махсона операция,МО
петушиная единица,ПЕ
Delorme,D
Fabry,F
интерорецепция,И
меланоз очаговый,МО
франкфуртская горизонталь,ФГ
аэрозольная шашка,АШ
meralgia paraesthetica,MP
Burnstem,B
фиброма текаклеточная ксантоматозная,ФТК
луковица преддверия,ЛП
Hippel,H
кривошея,К
гипофизарный карман,ГК
буж,Б
хлорпоглощаемость,Х
гонорея,Г
лактоцит,Л
инфаркт,И
бучильник,Б
Климова фиксатор,КФ
оксибензол,О
асексуализм,А
эякуляция задержанная,ЭЗ
полихимиотерапия,П
светобоязнь,С
"Fibrosum anticum,",FA
Эрлиха рецепторы,ЭР
химиопрофилактика малярии паллиативная,ХМП
сиалолитиаз,С
халькоз,Х
ксерорентгенограмма,К
Дейвис,Д
паралитическая триада,ПТ
анаэробная палата,АП
аппликатор радиотерапевтический,АР
анемия,А
фигура омеги,ФО
Шанца операция,ШО
цилиндрурия,Ц
ретрофлексия матки,РМ
отверстия легочных вен,ОЛВ
Дюрка гранулема,ДГ
секреторный статус,СС
гемигепатэктомия,Г
ку-лихорадка,КЛ
мальпигиев почечный клубочек,МПК
полиаденит,П
трихошизис,Т
фумигация,Ф
Норри болезнь,НБ
постцентральная область,ПО
Михайлова реакция,МР
сарконема,С
эмбол,Э
пениафобия,П
гипербилирубинемия идиопатическая неконъюгированная,ГИН
паротит эпидемический,ПЭ
Pleuroesophageus,P
паралогия,П
Rubinstein,R
Донован,Д
семенной бугорок,СБ
Tensoris veli palatini,TVP
B. subcutanea prominentiae laryngeae,BSPL
Милроя,М
Praeurethrale,P
энцефалопатия,Э
Гофманна палочка,ГП
Clostridium botulinum,CB
активность биоэлектрическая,АБ
маневренная санитарно-эпидемиологическая группа,МСЭГ
водосток,В
Чарлтона феномен,ЧФ
"Maxillare laterale,",ML
Inferiores,I
лихорадка гемоглобинурийная,ЛГ
морфаллаксис,М
цианоспермия,Ц
отек преретинальный,ОП
психограмма,П
эзофаговентрикулограмма,Э
Вашакидзе,В
межуточное вещество,МВ
интраартикулярный,И
ассоциация,А
синехиотом,С
основание аксона,ОА
Вернике транскортикальная сенсорная афазия,ВТСА
срединная борозда,СБ
Teissier,T
Витцеля,В
