name	mkb_code	start_year	age_category	end_year	id	abbreviation	term
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	УУР	уровень убедительности рекомендации
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ХЛТ	химиолучевая терапия
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ХТ	химиотерапия
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	18F-ФДГ ПЭТ/КТ	позитронно‑эмиссионная томография, ассоциированная с компьютерной томографией, выполняемая с введением 18F-фтордезоксиглюкозы
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	AJCC	Американский объединенный комитет по раку (American Joint Committee on Cancer)
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	AUC (area under ROC curve)	площадь под ROC-кривой
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ECOG	Восточная объединенная группа онкологов (Eastern Cooperative Oncology Group)
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ENE	экстракапсулярная инвазия (extracapsular extension)
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	R0	свободный от опухоли край резекции
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	R1	микроскопическая остаточная опухоль
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	TNM	международная классификация стадий развития раковых опухолей
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3		(аббревиатура от tumor, nodus и metastasis)
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	**	жизненно необходимые и важнейшие лекарственные препараты
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	AUC (area under ROC curve)	площадь под ROC-кривой
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ECOG	шкала оценки общего состояния онкологического больного по версии Восточной объединенной группы онкологов
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ENE	экстракапсулярная инвазия
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	IMRT	лучевая терапия с модуляцией интенсивности (volumetric modulated arc therapy)
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	QUANTEC	практическое руководство для оценки дозолимитирующих параметров критических органов (quantitative analyses of normal tissue effects in the clinic)
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	TNM (аббревиатура от tumor, nodus и metastasis)	Международная классификация стадий развития раковых опухолей (pT – послеоперационное стадирование опухоли; pN – послеоперационное стадирование регионарных лимфатических узлов)
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	VMAT	объемно-модулированная лучевая терапия (volumetric modulated arc therapy)
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	в/в	внутривенно
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ВПЧ	вирус папилломы человека
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ДНК	дезоксирибонуклеиновая кислота
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ИГХ	иммуногистохимический
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	КТ	компьютерная томография
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ЛТ	лучевая терапия
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ЛУ	лимфатические узлы
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	МРТ	магнитно-резонансная томография
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ПХТ	полихимиотерапия
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ПЦР	полимеразная цепная реакция
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	РНК	рибонуклеиновая кислота
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	УДД	уровень достоверности доказательности
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	УЗИ	ультразвуковое исследование
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	УУР	уровень убедительности рекомендации
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ХБС	хронический болевой синдром
Рак ротоглотки	C01, C02.4, C05.1, C05.2, C09, C10	2020	Взрослые	2022	4	ХЛТ	химиолучевая терапия
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ВМП	верхние мочевые пути
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ВОЗ	Всемирная организация здравоохранения
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ДГПЖ	доброкачественная гиперплазия предстательной железы
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ДЛТ	дистанционная лучевая терапия
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ИМП	инфекция мочевых путей
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	КОЕ	колониеобразующая единица
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	КТ	компьютерная томография
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	КУДИ	комплексное уродинамическое исследование
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ЛМС	лоханочно-мочеточниковый сегмент
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	МКБ	мочекаменная болезнь
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	МКБ-10	Международная статистическая классификация болезней и проблем, связанных со здоровьем, 10-го пересмотра
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	МП	мочевой пузырь
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	МРТ	магнитно-резонансная томография
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ОЗМ	острая задержка мочеиспускания
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ОПН	острая почечная недостаточность
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ПРИ	пальцевое ректальное исследование (трансректальное пальцевое исследование)
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ПСА	простатспецифический антиген
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	РПЖ	рак предстательной железы
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	СНМП	симптомы нижних мочевых путей
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	БиТУРП	биполярная трансуретральная резекция простаты
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	HoLEP	энуклеация гиперплазии простаты гольмиевым лазером
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ThuLEP	энуклеация гиперплазии простаты тулиевым лазером
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ThuFLEP	энуклеация гиперплазии простаты тулиевым волоконным лазером
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	TUEB	трансуретральная биполярная энуклеация гиперплазии простаты
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ТУВП	трансуретральная вапоризация простаты
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ЭПА	эмболизация простатических артерий
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ТУМТ	трансуретральная микроволновая терапия
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ФДЭ-5	фосфодиэстераза 5-го типа
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ЭД	эректильная дисфункция
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	ГАМП	гиперактивный мочевой пузырь
Доброкачественная гиперплазия предстательной железы	N40 	2020	Взрослые	2022	6	IPSS	International Prostate Symptom Score (Международный индекс симптомов при заболеваниях простаты)
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	АЧТВ	активированное частичное тромбопластиновое время
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ВМП	верхние мочевые пути
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ВУ	внутривенная урография
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	Гибкая УРС	гибкая уретерореноскопия
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ДИ	доверительный интервал
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ДЛТ	дистанционная ударно-волновая литотрипсия
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ИМП	инфекция мочевых путей
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	КТ	компьютерная томография
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ЛМС	лоханочно-мочеточниковый сегмент
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	мг	миллиграмм
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МЛТ	медикаментозная литокинетическая терапия
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	Мкмоль	микромоль
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	мм	миллиметр
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	Ммоль	миллимоль
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МиниПНЛ	мини перкутанная нефролитотомия
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МНО	международное нормализованное отношение
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МКБ	мочекаменная болезнь
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МКБ-10	Международная классификация болезней 10-го пересмотра
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МП	мочевой пузырь
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	МРТ	магнитно-резонансная томография
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	НПВС	нестероидные противовоспалительные средства
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ПНЛ	перкутанная нефролитотомия
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	РКИ	рандомизированное клиническое исследование
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	см	сантиметр
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	СКТ	спиральная компьютерная томография
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	СОЭ	скорость оседания эритроцитов
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	УЗИ	ультразвуковое исследование
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	УРС	уретерореноскопия с контактной литотрипсией и литоэкстракцией
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	ЧПНС	чрескожная пункционная нефростомия
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	AUA	American Urological Association (Американская ассоциация урологов)
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	EAU	European Association of Urology (Европейская ассоциация урологов)
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	HU	единица Хаунсфильда
Мочекаменная болезнь	N20	2020	Взрослые	2022	7	mSv	миллизиверт
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ГАМП	Гиперактивный мочевой пузырь
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ДИ	доверительный интервал
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ИВО	инфравезикальная обструкция
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ИМП	инфекция мочевыводящих путей
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	КТ	компьютерная томография
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	КУДИ	комплексное уродинамическое исследование.
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	мл	миллилитр
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	МП	мочевой пузырь
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	МРТ	магнитно-резонансная томография
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	НМ	недержание мочи
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	НМПН	НМ при напряжении
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ОМТ	органы малого таза
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ПТО	пролапс тазовых органов
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	р	статистическая вероятность ошибки (англ.)
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	СНМ	стрессовое недержание мочи
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	УЗИ	ультразвуковое исследование
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	УНМ	ургентное недержание мочи.
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	ICS	International Continence Society (англ.)
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	OAB-q	Overactive bladder Questionnaire (англ.)
Недержание мочи	N39.3, R32	2020	Взрослые	2022	8	TVT	tension free vaginal tape (англ.)
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	БЦЖ	бацилла Кальметта–Герена
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	в/в	внутривенно ВМП – верхние мочевыводящие пути
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	ВОЗ	Всемирная организация здравоохранения ИМП – инфекция мочевых путей КТ – компьютерная томография
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	ЛТ	лучевая терапия
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	ЛУ	лимфатический узел ЛФК – лечебная физическая культура
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	МИ РМП	мышечно-инвазивный рак мочевого пузыря
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	МКА	моноклональные антитела (код АТХ-классификации: L01XС)
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	МКБ-10	международная классификация болезней 10-го пересмотра МП – мочевой пузырь МРТ – магнитно-резонансная томография НМИ РМП – немышечно-инвазивный рак мочевого пузыря
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	ПСА	простат-специфический антиген
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	ПХТ	полихимиотерапия
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	РМП	рак мочевого пузыря
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	РКИ	рандомизированное контролируемое исследование США – Соединенные Штаты Америки ТУР – трансуретральная резекция мочевого пузыря УД – уровень доказательности УЗИ – ультразвуковое исследование ФД – флюоресцентная диагностика ХТ – химиотерапия ЦИ – цитологическое исследование
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	ЦЭ	цистэктомия
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	AUC	areaundercurve – площадь под фармакологической кривой, расчет дозы карбоплатина по площади под фармакологической кривой производится по формуле Calvert (1989): доза карбоплатина= AUC х (клиренс креатинина+25). BTA – bladdertumorantigen (антиген рака мочевого пузыря)
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	CIS	карцинома insitu
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	PUNLMP	papillaryurothelialneoplasm of lowmalignant (папиллярная неоплазияуротелияс низким злокачественным потенциалом)
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	RECIST	response evaluation criteria in solid tumours (критерииответасолидныхопухолейнатерапию)
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	UBC	urinary bladder cancer (ракмочевогопузыря)
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	рчГ-КСФ	рекомбинантныйчеловеческий гранулоцитарный колониестимулирующий фактор
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	**	жизненно необходимые и важнейшие лекарственные препараты
Рак мочевого пузыря 	C67	2020	Взрослые	2022	11	#	препарат, применяющийся не в соответствии с показаниями к применению и противопоказаниями, способами применения и дозами, содержащимися в инструкции по применению лекарственного препарата (off-label, офф-лейбл)
Рак предстательной железы 	C61	2020	Взрослые	2022	12	АДТ	анроген-депривационная терапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	БТ	брахитерапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ВУ	время удвоения
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ГКСФ	гранулоцитарный колониестимулирующий фактор
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ГЧРПЖ	гормоночувствительный рак предстательной железы
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ДГПЖ	доброкачественная гиперплазия предстательной железы
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ДИ	доверительный интервал
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ДЛТ	дистанционная лучевая терапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ИГТ	интермиттирующая гормонотерапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	КРРПЖ	кастрационно-рефрактерный рак предстательной железы
Рак предстательной железы 	C61	2020	Взрослые	2022	12	КТ	компьютерная томография
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ЛГРГ	лютеинизирующий гормон рилизинг-гормон
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ЛТ	лучевая терапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ЛУ	лимфатические узлы
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ЛФК	лечебная физкультура
Рак предстательной железы 	C61	2020	Взрослые	2022	12	МАБ	максимальная андрогенная блокада
Рак предстательной железы 	C61	2020	Взрослые	2022	12	МАГАТЭ	Международное агентство по атомной энергии
Рак предстательной железы 	C61	2020	Взрослые	2022	12	МКБ-10	Международная классификация болезней 10-го пересмотра
Рак предстательной железы 	C61	2020	Взрослые	2022	12	мпМРТ	мультипараметрическая магнитно-резонансная томография
Рак предстательной железы 	C61	2020	Взрослые	2022	12	МРТ	магнитно-резонансная томография
Рак предстательной железы 	C61	2020	Взрослые	2022	12	МРТ	магнитно-резонансная томография
Рак предстательной железы 	C61	2020	Взрослые	2022	12	НСАА	нестероидные антиандрогены
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ОЗМ	острая задержка мочеиспускания
Рак предстательной железы 	C61	2020	Взрослые	2022	12	оПСА	общий простатспецифический антиген
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ПГТ	постоянная гормонотерапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ПСА	простатоспецифический антиген
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ПЭТ/КТ	позитронная эмиссионная томография, совмещенная с компьютерной томографией
Рак предстательной железы 	C61	2020	Взрослые	2022	12	РАРП	роботассистированная радикальная простатэктомия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	РПЖ	рак предстательной железы
Рак предстательной железы 	C61	2020	Взрослые	2022	12	РПЭ	радикальная простатэктомия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	свПСА	свободный простатспецифический антиген
Рак предстательной железы 	C61	2020	Взрослые	2022	12	СЛУ	сторожевой лимфоузел
Рак предстательной железы 	C61	2020	Взрослые	2022	12	СОД	суммарная очаговая доза
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ТЛАЭ	тазовая лимфаденэктомия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ТПИ	трансректальное пальцевое исследование
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ТРУЗИ	трансректальное ультразвуковое исследование
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ТУР	трансуретральная резекция предстательной железы
Рак предстательной железы 	C61	2020	Взрослые	2022	12	УД	уровень доказательности
Рак предстательной железы 	C61	2020	Взрослые	2022	12	УЗИ	ультразвуковое исследование
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ХТ	химиотерапия
Рак предстательной железы 	C61	2020	Взрослые	2022	12	ERAS (early rehabilitation after surgery)	ранняя реабилитация после операции
Рак предстательной железы 	C61	2020	Взрослые	2022	12	IGRT	Image Guided Radiation Therapy (лучевая терапия, ориентированная на положение простаты в режиме реального времени)
Рак предстательной железы 	C61	2020	Взрослые	2022	12	IMRT	Intensive Modulated Radiation Therapy (лучевая терапия с модуляцией интенсивности)
Рак предстательной железы 	C61	2020	Взрослые	2022	12	PCPT	Prostate Cancer Prevention Trial (исследование по профилактике рака простаты)
Рак предстательной железы 	C61	2020	Взрослые	2022	12	PHI	Prostate Health Index (индекс здоровья простаты)
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ВИЧ	вирус иммунодефицита человека
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ВК	врачебная комиссия
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ВЛТ	внелегочный туберкулез
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ДНК	дезоксирибонуклеиновая кислота
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ИП	искусственный пневмоторакс
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	КББ	клапанная бронхоблокация
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	КУМ	кислотоустойчивые микроорганизмы
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ЛУ	лекарственная устойчивость
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ЛЧ	лекарственная чувствительность
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	МБТ	микобактерии туберкулеза
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	МБТК	микобактерии туберкулезного комплекса
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	МГМ	молекулярно-генетические методы
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	МЛУ	множественная лекарственная устойчивость
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	МЛУ ТБ	туберкулез, вызванный возбудителем с МЛУ
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	НПВП	нестероидные противовоспалительные препараты
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	НТМБ	нетуберкулезные микобактерии
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ПТП	противотуберкулезный препарат
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ПЦР	полимеразная цепная реакция
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	СИОЗС	селективные ингибиторы обратного захвата серотонина
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ТБ	туберкулез
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ТПЛУ	туберкулез периферических лимфатических узлов
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ТТГ	тиреотропный гормон
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	УГТ	урогенитальный туберкулез
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	Ц	Н – окраска по Цилю – Нельсену
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ЦНС	центральная нервная система
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ШЛУ	широкая лекарственная устойчивость
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ШЛУ ТБ	туберкулез, вызванный возбудителем с ШЛУ
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	ЭК	эндобронхиальный клапан
Туберкулез у взрослых	A15-A19	2020	Взрослые	2022	16	IGRAs	Interferon-Gamma Release Assays
