,term,abbr_by_first_letters
100,СЂРµРєРѕРјР±РёРЅР°С†РёСЏ С…СЂРѕРјРѕСЃРѕРј,Р РҐ
111,Р±РµС‚Р°-С‚РµСЂР°РїРёСЏ,Р‘Рў
112,СЌРЅРµСЂРіРµС‚РёС‡РµСЃРєР°СЏ С†РµРЅРЅРѕСЃС‚СЊ,Р­Р¦
114,РЎРµРґРґРѕРЅР° СЂР°С…РёРѕС‚РѕРјРёСЏ,РЎР 
116,Communicans cum n. laryngeo inferiore,CCNLI
119,РЁРјРёРЅРєРµ РѕРїСѓС…РѕР»СЊ,РЁРћ
121,Р Сѓ-Р“РµСЂС†РµРЅР° РѕРїРµСЂР°С†РёСЏ,Р Р“Рћ
123,РґРёСЃС‚РёРјРёСЏ СЌРЅРґРѕСЂРµР°РєС‚РёРІРЅР°СЏ,Р”Р­
124,Talocalcaneare fibulare,TF
125,Р°Р»СЊР±СѓРјРёРЅ РјС‹С€РµС‡РЅС‹Р№,РђРњ
128,РєР°РјРїРµСЂРѕРІСЃРєР°СЏ Р»РёРЅРёСЏ,РљР›
133,РјРµРґРёС†РёРЅСЃРєРёР№ СЃРєР»Р°Рґ РІРѕРµРЅРЅС‹Р№,РњРЎР’
134,Р°РґРµРЅРѕРјР° С„РѕР»Р»РёРєСѓР»СЏСЂРЅР°СЏ,РђР¤
136,СЃСѓСЃС‚Р°РІРЅР°СЏ РјС‹С€СЊ,РЎРњ
138,РјРµР№Р±РѕРјРёРµРІС‹ Р¶РµР»РµР·С‹,РњР–
139,"Collateralia digitorum manus,",CDM
142,Р РѕРЅС‹ СЂРµР°РєС†РёСЏ,Р Р 
144,РўРѕРјР° СЂРµС„Р»РµРєСЃ,РўР 
145,B. subtendinea m. subscapularis,BSMS
146,С„РµС‚Р°Р»СЊРЅС‹Р№ РїРµСЂРёРѕРґ,Р¤Рџ
147,РЈР°Р№РµС‚Р° СЃРїРѕСЃРѕР±,РЈРЎ
149,Р±РёРѕР»РѕРіРёС‡РµСЃРєРё Р°РєС‚РёРІРЅРѕРµ РІРµС‰РµСЃС‚РІРѕ,Р‘РђР’
150,РґРёСЃРє A,Р”A
155,РќРёСЂРѕРїР° РїСЂСЏРјРѕРґРµСЂР¶Р°С‚РµР»СЊ,РќРџ
156,Р»РёС…РѕСЂР°РґРєР° С‚СЂРѕРїРёС‡РµСЃРєР°СЏ РєРѕРјР°СЂРёРЅР°СЏ,Р›РўРљ
157,Р“РѕРїРєРёРЅСЃР° РјРµС‚РѕРґ,Р“Рњ
162,РїСЂРѕР»Р°РЅ Р‘,РџР‘
165,РїСЂРѕС‚СЂСѓР·РёСЏ РјРѕР·РіР°,РџРњ
166,Glandulares rami,GR
167,РўР°Р№РґР¶РµСЃРѕРЅР° РєРµСЂР°С‚РѕРєРѕРЅСЉСЋРЅРєС‚РёРІРёС‚,РўРљ
169,Р›РёС…С‚РіРµР№РјР° С„РµРЅРѕРјРµРЅ,Р›Р¤
172,РјРµРґРёС†РёРЅСЃРєР°СЏ РєР°СЂС‚Р°,РњРљ
174,Р°С‚СЂРѕС„РёСЏ РѕР»РёРІРѕРїРѕРЅС‚РѕС†РµСЂРµР±РµР»Р»СЏСЂРЅР°СЏ,РђРћ
175,РџРѕС‚С‚Р° РїРµСЂРµР»РѕРј,РџРџ
176,Ascendens ramus,AR
177,РђРґРґРёСЃР° РїСЂРѕР±Р°,РђРџ
178,СЌРєС‚РѕРїРёСЏ СЏРёС‡РєР°,Р­РЇ
179,С„Р°Р·РѕС„СЂРµРЅРёРё РљР»РµР№СЃС‚Р°,Р¤Рљ
182,"Cervicovaginalis ramus,",CR
183,РѕС‡Р°Рі РјР°СЃСЃРѕРІС‹С… СЃР°РЅРёС‚Р°СЂРЅС‹С… РїРѕС‚РµСЂСЊ,РћРњРЎРџ
185,РіСЂСЏР·РµРІРѕРµ РѕР·РµСЂРѕ,Р“Рћ
187,Р›СѓС€РєРё РјРёРЅРґР°Р»РёРЅР°,Р›Рњ
192,РїСЃРёС…РѕР°РЅР°Р»РµРїС‚РёС‡РµСЃРєРёРµ СЃСЂРµРґСЃС‚РІР°,РџРЎ
193,РєРѕР±Р°Р»СЊС‚ СЂР°РґРёРѕР°РєС‚РёРІРЅС‹Р№,РљР 
195,Transversus linguae,TL
196,РјР°РєСЂРѕСЌСЂРіРёС‡РµСЃРєРёРµ СЃРѕРµРґРёРЅРµРЅРёСЏ,РњРЎ
198,"Glandulae thyreoideae (medium et lateralia),",GT(EL
199,СЌР»Р°СЃС‚РѕСЂРµРєСЃРёСЃ РіРµРЅРµСЂР°Р»РёР·РѕРІР°РЅРЅС‹Р№,Р­Р“
200,Р“СЂРёС€РёРЅР° Р°РїРїР°СЂР°С‚,Р“Рђ
201,СЃСѓРјРµСЂРµС‡РЅРѕРµ СЃРѕСЃС‚РѕСЏРЅРёРµ,РЎРЎ
202,СЃРёРЅРґСЂРѕРј Р°С„С„РµРєС‚РёРІРЅС‹Р№,РЎРђ
203,Apicalis ramus,AR
205,РїРѕРґР±РѕСЂРѕРґРѕС‡РЅР°СЏ С‚РѕС‡РєР°,РџРў
206,РјРµРґРёС†РёРЅР° РІРѕРµРЅРЅРѕ-РјРѕСЂСЃРєР°СЏ,РњР’Рњ
207,РіРѕСЂРЅС‹Р№ РґСЂРѕС‚РёРє,Р“Р”
209,Р’Р°СЃРёР»СЊРµРІР° РјРµС‚РѕРґ РїР»Р°СЃС‚РёРєРё,Р’РњРџ
210,Р°РЅРіРёРЅР° Р›СЋРґРІРёРіР°,РђР›
211,РўРµР№РЅР° СЃС…РµРјР°,РўРЎ
212,Р—Р°С…Р°СЂС‡РµРЅРєРѕ СЃРёРЅРґСЂРѕРј,Р—РЎ
213,РіСѓРјРѕСЂР°Р»СЊРЅС‹Рµ С„Р°РєС‚РѕСЂС‹,Р“Р¤
215,РїСЂРѕС‚РѕРїР»Р°СЃС‚ Р±Р°РєС‚РµСЂРёР°Р»СЊРЅС‹Р№,РџР‘
218,Transversa colli,TC
220,Corticales rami,CR
221,"Interarytaenoideus obliquus,",IO
223,РќРµРјРµРєР° С‚РѕРє,РќРў
224,С‚РµРјРїРµСЂР°С‚СѓСЂР° РѕРїРµСЂР°С‚РёРІРЅР°СЏ,РўРћ
225,РїРѕСЂРѕРіРѕРІР°СЏ СЂРµР°РєС†РёСЏ,РџР 
230,Interlacunaris pars fasciae ilicae,IPFI
231,СЂРµС‡СЊ РјРѕС‚РѕСЂРЅР°СЏ,Р Рњ
232,РґРµРєРѕРјРїСЂРµСЃСЃРёРѕРЅРЅР°СЏ РєР°РјРµСЂР°,Р”Рљ
233,Xenopsilla cheopis,XC
235,РЁРјРµСЂС†Р° РєР»РµРјРјР°,РЁРљ
236,РџРёСЂРѕРіРѕРІР° С„Р°СЃС†РёСЏ,РџР¤
237,Metacarpea palmaria,MP
238,РґРµСЂРјР°С‚РѕС„РёР±СЂРѕР· Р»РµРЅС‚РёРєСѓР»СЏСЂРЅС‹Р№ РґРёСЃСЃРµРјРёРЅРёСЂРѕРІР°РЅРЅС‹Р№,Р”Р›Р”
239,Р°РІС‚РѕРјР°С‚РёС‡РµСЃРєРѕРµ СѓРїСЂР°РІР»РµРЅРёРµ,РђРЈ
240,B. trochanterica m. glutei maximi,BTMGM
241,РїСЂРµРґРѕРїРµСЂР°С†РёРѕРЅРЅС‹Р№ РїРµСЂРёРѕРґ,РџРџ
242,Р“РµС„С‚РµСЂ РјРµС‚РѕРґ,Р“Рњ
247,С„Р°Р·Р° РёР·РѕРјРµС‚СЂРёС‡РµСЃРєРѕРіРѕ СЂР°СЃСЃР»Р°Р±Р»РµРЅРёСЏ,Р¤РР 
248,РЁР°СЂРєРѕ СЃРёРјРїС‚РѕРј,РЁРЎ
249,"Rhomboides claviculae,",RC
252,Р±РѕР»СЊС€РѕР№ Р±СѓРіРѕСЂРѕРє,Р‘Р‘
255,РІРµС‚РІСЊ Р»РѕР±РєРѕРІРѕР№ РєРѕСЃС‚Рё РІРµСЂС…РЅСЏСЏ,Р’Р›РљР’
259,РІР°РєСѓСѓРј-СЃСѓС€РёР»РєР°,Р’РЎ
261,РўРѕСЂРЅС‚РѕРЅР° СЌС…РёРЅРѕРєРѕРєРєСЌРєС‚РѕРјРёСЏ,РўР­
263,СЌРєР·Р°РЅС‚РµРјР° СЌРїРёРґРµРјРёС‡РµСЃРєР°СЏ,Р­Р­
264,Meningicae mediae,MM
266,С„Р°Р·Р° РёР·РіРЅР°РЅРёСЏ,Р¤Р
267,РіР»РёРѕРјР° СЌРїРµРЅРґРёРјР°Р»СЊРЅР°СЏ,Р“Р­
268,Triceps brachii,TB
269,Ad pontem rami,APR
270,РґРёСЃРєРµСЂР°С‚РѕР· С„РѕР»Р»РёРєСѓР»СЏСЂРЅС‹Р№,Р”Р¤
272,Ampullaris lateralis,AL
273,СѓРєСЃСѓСЃРЅР°СЏ РєРёСЃР»РѕС‚Р°,РЈРљ
275,Fc-С„СЂР°РіРјРµРЅС‚,FР¤
277,Cutaneus brachii lateralis,CBL
278,РЅРµСЂРІРЅРѕ-РїСЃРёС…РёС‡РµСЃРєРѕРµ РЅР°РїСЂСЏР¶РµРЅРёРµ,РќРџРќ
279,РґРµС‚СЃРєРёР№ СЃР°Рґ,Р”РЎ
282,Р°Р»СЊС„Р°-Р°РґСЂРµРЅРѕРјРёРјРµС‚РёС‡РµСЃРєРёРµ СЃСЂРµРґСЃС‚РІР°,РђРђРЎ
284,Р’РµР№РєСЃРµР»СЊР±Р°СѓРјР° РґРёРїР»РѕРєРѕРєРє,Р’Р”
290,РўР°РЅРґР»РµСЂР° С‚РµРѕСЂРёСЏ,РўРў
292,Р Р°РІРёС‡-Р©РµСЂР±Рѕ СЃРёРјРїС‚РѕРј,Р Р©РЎ
293,РЅР°РґР»РѕР±РєРѕРІР°СЏ РѕР±Р»Р°СЃС‚СЊ,РќРћ
295,Nodi lymphatici paravaginales,NLP
296,РїСѓРїРѕРє Р±Р°СЂР°Р±Р°РЅРЅРѕР№ РїРµСЂРµРїРѕРЅРєРё,РџР‘Рџ
299,РїР°РЅРіР°РјРѕРІР°СЏ РєРёСЃР»РѕС‚Р°,РџРљ
302,Р»РµРіРєРёРµ С„РµСЂРјРµСЂР°,Р›Р¤
304,СЂРёС‚Рј СЃСѓС‚РѕС‡РЅС‹Р№,Р РЎ
306,"Diaphragmaticus plexus venosus,",DPV
307,Peronaea communis,PC
310,Р»РёРЅРёСЏ С„РёРєСЃР°С†РёРё,Р›Р¤
313,Р¤Р°СЂСЂР°РЅС‚Р° РјРµС‚РѕРґ,Р¤Рњ
314,Р’РёРЅСЃР»РѕСѓ РѕС‚РІРµСЂСЃС‚РёРµ,Р’Рћ
315,С‚РѕРєСЃРёРєРѕР· Р±РµСЂРµРјРµРЅРЅС‹С…,РўР‘
318,РЁР°СЏ-Р”СЂРµР№РґР¶РµСЂР° СЃРёРЅРґСЂРѕРј,РЁР”РЎ
319,Р“РµСЂС†РµРЅР° РѕРїРµСЂР°С†РёСЏ,Р“Рћ
320,Parkes Weber,PW
322,РљР°СЂС…Р°СЂС‚Р° РІС‹РµРјРєР°,РљР’
324,РЎРµРЅС…Р°СѓР·Р°-РљРёСЂРєСЃР° СЃРёРЅРґСЂРѕРј,РЎРљРЎ
326,"Reflexum (Collesi),",R(
327,СЂРµРЅС‚РіРµРЅРѕРІСЃРєРѕРµ РёР·Р»СѓС‡РµРЅРёРµ,Р Р
328,РєРёРЅРµРјР°С‚РѕРіСЂР°С„РёСЏ СЂРµРЅС‚РіРµРЅРѕС‚РµР»РµРІРёР·РёРѕРЅРЅР°СЏ,РљР 
330,РєСЂРѕРІРµР·Р°РјРµС‰Р°СЋС‰РёРµ СЂР°СЃС‚РІРѕСЂС‹,РљР 
332,СЃРёРЅРґСЂРѕРј РјРµРґРёР°СЃС‚РёРЅР°Р»СЊРЅС‹Р№,РЎРњ
334,РћРіР°РЅРµСЃСЏРЅР° РєРѕРјРїСЂРµСЃСЃРёРѕРЅРЅРѕ-РґРёСЃС‚СЂР°РєС†РёРѕРЅРЅС‹Р№ Р°РїРїР°СЂР°С‚,РћРљР”Рђ
335,Р›Р°РЅРґРѕР»СЊС‚Р° РєРѕР»СЊС†Рѕ,Р›Рљ
336,Р·РѕРЅР° РїСЂРµРІСЂР°С‰РµРЅРёСЏ,Р—Рџ
337,СЂРѕРіРѕРІРёС‡РЅС‹Рµ С‚РµР»СЊС†Р°,Р Рў
339,СЃР»СѓС… РІРµСЂР±Р°Р»СЊРЅС‹Р№,РЎР’
342,Р•РіРµСЂР° РѕРїРµСЂР°С†РёСЏ,Р•Рћ
344,С„РµРЅРѕРјРµРЅ РІС‹СЂР°РІРЅРёРІР°РЅРёСЏ РіСЂРѕРјРєРѕСЃС‚Рё Р·РІСѓРєР°,Р¤Р’Р“Р—
345,С‚СѓР±РµСЂРєСѓР»РѕРёРґ РїРѕР»СЏСЂРЅС‹Р№,РўРџ
346,Р›Р°РЅРіРµРЅР±РµРєР°-Р‘РёР»СЊСЂРѕС‚Р° РѕРїРµСЂР°С†РёСЏ,Р›Р‘Рћ
347,РІРµСЂС‚РµР» Р±РѕР»СЊС€РѕР№,Р’Р‘
348,РЅРёСЃС‚Р°РіРј РІСЂРѕР¶РґРµРЅРЅС‹Р№ РЅР°СЃР»РµРґСЃС‚РІРµРЅРЅС‹Р№,РќР’Рќ
349,Р’СЂРµРґРµРЅР° СЃРёРјРїС‚РѕРј РЅРѕР¶РЅРёС†,Р’РЎРќ
350,Cervicalis profunda,CP
351,СЃСѓС…РѕР¶РёР»СЊРЅРѕРµ РІРµСЂРµС‚РµРЅРѕ,РЎР’
353,inferior (pelvinus) (PNA;,I((
357,Р‘СЂСѓРґР·РёРЅСЃРєРѕРіРѕ СЃРёРјРїС‚РѕРј Р»РѕР±РєРѕРІС‹Р№,Р‘РЎР›
358,РѕС‚РІРµСЂСЃС‚РёРµ С‚СЂСѓР±С‹ РјР°С‚РѕС‡РЅРѕРµ,РћРўРњ
359,Labiales inferiores,LI
361,Р‘РѕРґСѓСЌРЅР° РєРѕСЌС„С„РёС†РёРµРЅС‚,Р‘Рљ
362,РёР·РѕРјРѕСЂС„РЅР°СЏ РїСЂРѕРІРѕС†РёСЂСѓСЋС‰Р°СЏ СЂРµР°РєС†РёСЏ,РРџР 
363,Emissaria condylaris,EC
364,Sternocleidomastoideus ramus,SR
365,Р›Р°РЅС†Р° СЃРїСЂРёРЅС†РѕРІРєР°,Р›РЎ
366,Р‘РѕР°СЃР° С„СЂР°РіРјРµРЅС‚РёСЂРѕРІР°РЅРЅС‹Р№ СЃС‚СѓР»,Р‘Р¤РЎ
367,СЃРµРєРІРµСЃС‚СЂР°Р»СЊРЅР°СЏ Р±РѕСЂРѕР·РґР°,РЎР‘
368,РЅРµР±РЅС‹Рµ Р±РѕСЂРѕР·РґС‹,РќР‘
370,РІРµРєРѕРІРѕ-РјРѕР»СЏСЂРЅР°СЏ Р±РѕСЂРѕР·РґР°,Р’РњР‘
373,Р›СѓС€РєРё РѕС‚РІРµСЂСЃС‚РёРµ,Р›Рћ
374,"Medianae medullae spinalis anteriores,",MMSA
375,РЁС‚СЂСЋРјРїРµР»Р»СЏ Р±РѕР»РµР·РЅСЊ,РЁР‘
378,СЃРёРЅРґСЂРѕРј Р·РµСЂРєР°Р»СЊРЅРѕРіРѕ РґРІРёР¶РµРЅРёСЏ СЂСѓРє,РЎР—Р”Р 
383,"Fibulotalare anterius,",FA
384,Р±РѕР»СЊРЅРёС‡РЅС‹Р№ Р»РёСЃС‚,Р‘Р›
385,F. colli media,FCM
392,СЃРµРјРµРЅРЅРѕР№ РєР°РЅР°С‚РёРє,РЎРљ
394,СЌРїРёС‚РµР»РёРѕРјР° РјРЅРѕР¶РµСЃС‚РІРµРЅРЅР°СЏ РґРѕР±СЂРѕРєР°С‡РµСЃС‚РІРµРЅРЅР°СЏ Р¶РµР»РµР·РёСЃС‚Рѕ-РєРёСЃС‚РѕР·РЅР°СЏ,Р­РњР”Р–Рљ
395,Tibiotalaris anterior pars,TAP
396,a-РіР°Р»Р°РєС‚РѕР·РёРґР°Р·Р°,AР“
398,РёРјРјСѓРЅРѕРґРµРїСЂРµСЃСЃРёРІРЅС‹Рµ С„Р°РєС‚РѕСЂС‹,РР¤
399,РїСѓР·С‹СЂС‡Р°С‚РєР° РїСЂСѓСЂРёРіРёРЅРѕР·РЅР°СЏ,РџРџ
400,РґРёР°С‚РµР· Р°С‚РѕРїРёС‡РµСЃРєРёР№,Р”Рђ
401,РјРµР»РёС‚СѓСЂРёСЏ РЅРѕРІРѕСЂРѕР¶РґРµРЅРЅС‹С…,РњРќ
402,СЃРµСЂРґС†Рµ РєРёС„РѕСЃРєРѕР»РёРѕС‚РёС‡РµСЃРєРѕРµ,РЎРљ
403,СЃРёРЅРґСЂРѕРј РІРµСЂС…РЅРµР№ С‡Р°СЃС‚Рё РїР»РµС‡РµРІРѕРіРѕ СЃРїР»РµС‚РµРЅРёСЏ,РЎР’Р§РџРЎ
404,Р±СЂРѕРЅС…РѕРїР°С‚РёСЏ С…РѕРЅРґСЂРѕРѕСЃС‚РµРѕРїР»Р°СЃС‚РёС‡РµСЃРєР°СЏ,Р‘РҐ
405,Р’Р°РєРµ Р±РѕР»РµРІР°СЏ С‚РѕС‡РєР°,Р’Р‘Рў
406,РїСѓСЂРїСѓСЂР° РїСЂРѕСЃС‚Р°СЏ,РџРџ
408,Scrotales anteriores,SA
410,СЃС‚РёРјСѓР»СЏС‚РѕСЂ РёРјРїСѓР»СЊСЃРЅС‹Р№,РЎР
412,С‡СѓРІСЃС‚РІРѕ РїСЂРѕСЃС‚СЂР°РЅСЃС‚РІРµРЅРЅРѕРµ,Р§Рџ
413,Р±СЂС‹Р¶Рё СЂР°РґСѓР¶РєРё,Р‘Р 
418,Interossea anterior,IA
420,Oesophageus posterior,OP
424,СЃРёРЅРґСЂРѕРј СЃР±СЂР°СЃС‹РІР°РЅРёСЏ,РЎРЎ
425,Р”СѓР°РЅР° СЃРёРЅРґСЂРѕРј,Р”РЎ
426,С„РµРЅРѕРјРµРЅ РїРѕРІС‚РѕСЂРЅРѕРіРѕ РІС…РѕРґР° РІРѕР·Р±СѓР¶РґРµРЅРёСЏ,Р¤РџР’Р’
427,Lumphonodi submentales,LS
429,РєРѕРјРїСЂРµСЃСЃРёРѕРЅРЅР°СЏ РїСЂРѕР±Р°,РљРџ
430,Р¤РёРєР° РјРµС‚РѕРґ,Р¤Рњ
431,РїСѓР·С‹СЂРЅС‹Р№ РїСЂРѕС‚РѕРє,РџРџ
432,Flexor digiti quinti brevis pedis,FDQBP
434,РњСЋР»Р»РµСЂР° РјС‹С€С†Р°,РњРњ
435,60. Auriculare superius,6AS
436,СЃРёРЅРґСЂРѕРј Р»РѕРєС‚РµРІРѕРіРѕ РЅРµСЂРІР°,РЎР›Рќ
437,Р°РЅС‚РёРіРµРЅРЅР°СЏ РєРѕРЅРІРµСЂСЃРёСЏ РєР»РµС‚РѕРє РѕРїСѓС…РѕР»Рё,РђРљРљРћ
440,РїР°СЂР°Р»РёС‡ РљР»СѓСЃС‚РѕРЅР°,РџРљ
441,РџСѓС‡РєРѕРІСЃРєРѕР№ РѕРїРµСЂР°С†РёСЏ,РџРћ
443,Р±РѕСЂРѕР·РґР° РїР»РµС‡Р° РјРµРґРёР°Р»СЊРЅР°СЏ,Р‘РџРњ
444,РєСЂС‹Р»СЊРЅР°СЏ РїР»Р°СЃС‚РёРЅРєР°,РљРџ
446,РєСЂС‹Р»Рѕ РїРѕРґРІР·РґРѕС€РЅРѕР№ РєРѕСЃС‚Рё,РљРџРљ
447,Р–РёР»СЊР±РµСЂР° Р±РѕР»РµР·РЅСЊ,Р–Р‘
449,РЅР°РґРіСЂСѓРґРёРЅРЅРѕРµ РјРµР¶Р°РїРѕРЅРµРІСЂРѕС‚РёС‡РµСЃРєРѕРµ РїСЂРѕСЃС‚СЂР°РЅСЃС‚РІРѕ,РќРњРџ
451,РіРёСЃС‚РѕС€РёР·РѕС‚СЂРѕРїРЅС‹Рµ СЃСЂРµРґСЃС‚РІР°,Р“РЎ
452,Р”РёС„С„РµРЅР±Р°С…Р° Р±Р»РµС„Р°СЂРѕРїР»Р°СЃС‚РёРєР°,Р”Р‘
454,Р¶РёСЂ РѕР±С‰РёР№,Р–Рћ
455,Р»РµРєР°СЂСЃС‚РІРµРЅРЅС‹Р№ СЃР±РѕСЂ,Р›РЎ
456,РљРѕСЂРЅРµРІР° СЃРёРјРїС‚РѕРј РІРѕР¶Р¶РµР№,РљРЎР’
458,РїСЂРѕСЃС‚Р°С‚РёС‡РµСЃРєРёРµ РїСЂРѕС‚РѕРєРё,РџРџ
459,Brachialis superficialis,BS
460,Р±РѕСЂРѕР·РґР° СЃР»СѓС…РѕРІРѕР№ С‚СЂСѓР±С‹,Р‘РЎРў
463,РїРёРµР»РѕРіСЂР°С„РёСЏ РІРЅСѓС‚СЂРёРІРµРЅРЅР°СЏ,РџР’
465,Musculares (n. mediani),M(M
466,РЁСЂР°РµСЂР° СЂР°Р·СЂРµР·,РЁР 
468,РљРµРЅРёРіР° РѕРїРµСЂР°С†РёСЏ,РљРћ
469,С„Р°РєС‚РѕСЂ 2 С‚СЂРѕРјР±РѕС†РёС‚РѕРІ,Р¤2Рў
471,С‚РµСЂРјРѕРёР·РѕР»СЏС†РёРѕРЅРЅС‹Р№ РєРѕРЅС‚РµР№РЅРµСЂ,РўРљ
472,РЁРјРѕСЂР»СЏ СѓР·РµР»РѕРє,РЁРЈ
476,СЌР»Р°СЃС‚РѕР· СЃС‚Р°СЂС‡РµСЃРєРёР№,Р­РЎ
477,СЃРёРјРїС‚РѕРј РѕС‚РґР°С‡Рё,РЎРћ
481,Basilaris plexus,BP
483,Р‘Р°СЂР±РµСЂР° РїСѓСЃС‚СѓР»РµР·,Р‘Рџ
484,РіР°РјРµС‚РёС‡РµСЃРєРёР№ РїРѕСЂРѕРє,Р“Рџ
485,Р§РµСЂРЅРё РґРѕСЃС‚СѓРї,Р§Р”
490,РґРµСЃРјРѕРёРґРЅР°СЏ РїСЂРѕР±Р°,Р”Рџ
491,С„Р»РµРіРјРѕРЅР°-Р·Р°С‚РµРє,Р¤Р—
